Crash ID,Vehicle ID
20241115,1
20241125,1
20246013,1
20241002,1
20243185,1
20244016,1
20243168,1
20246003,1
20246001,1
20244081,1
20241087,1
20241054,2
20244042,1
20243246,1
20241101,2
20241216,1
20241300,1
20243007,1
20241278,1
20241149,1
20241068,3
20243273,1
20244020,1
20244055,1
20244055,1
20241094,1
20243160,1
20243160,1
20243209,1
20244001,1
20243243,4
20246016,1
20241119,1
20241119,1
20241169,1
20241291,2
20243036,1
20244026,1
20241077,1
20241028,1
20241022,1
20243015,1
20244023,1
20241098,1
20243114,1
20243114,1
20241040,1
20241174,1
20241088,1
20241255,1
20241053,1
20241053,1
20243046,1
20243046,1
20241080,1
20243044,2
20241274,1
20243176,1
20241181,2
20243110,1
20244044,1
20243147,1
20244019,1
20241194,5
20241139,6
20241197,2
20243220,1
20243267,1
20241057,1
20243174,1
20241166,1
20243213,2
20241096,1
20242089,1
20243073,1
20241027,1
20241163,1
20243143,1
20241222,1
20241218,1
20243249,1
20243098,1
20241306,1
20243037,1
20244083,1
20241196,1
20244028,1
20244028,1
20243038,1
20242023,2
20242230,1
20242127,1
20242120,1
20241106,1
20241230,1
20241055,1
20241267,1
20242260,1
20242057,1
20243153,2
20242161,1
20241236,1
20243172,1
20241188,1
20243191,1
20243191,1
20241256,1
20241256,1
20242019,1
20243008,6
20243001,1
20243041,1
20244021,1
20243113,1
20241107,1
20243022,1
20248002,1
20242088,1
20241173,2
20241173,2
20241004,1
20246004,5
20241201,1
20241029,1
20243005,1
20241261,1
20244024,1
20241215,1
20243186,1
20243208,1
20241134,1
20243040,5
20243040,5
20241263,1
20241302,1
20241147,1
20243248,1
20243096,1
20241150,6
20241247,2
20241234,1
20242110,1
20242052,4
20243247,1
20243144,2
20241235,2
20243087,1
20243087,1
20244061,1
20241009,1
20241072,1
20243129,2
20242219,4
20241219,1
20244010,1
20244040,1
20243171,1
20242075,1
20243079,1
20241045,1
20243017,2
20243017,2
20241160,4
20241081,2
20241135,1
20241209,2
20242140,4
20242140,4
20242142,1
20243107,1
20243020,1
20241151,1
20243158,2
20241286,1
20243102,1
20241303,1
20246029,1
20248005,1
20244018,1
20241060,1
20241060,1
20242022,4
20241037,1
20241257,1
20241128,1
20243089,1
20242181,1
20243082,2
20243150,1
20243170,1
20243239,1
20242040,2
20243084,1
20241030,1
20243127,4
20243003,1
20243266,1
20241042,1
20243121,1
20241175,1
20243072,1
20244057,1
20241091,1
20243201,1
20242135,1
20243225,1
20241167,1
20244060,1
20241268,1
20244013,1
20243235,1
20243235,1
20244059,1
20244059,1
20241266,1
20243131,1
20242080,1
20241287,1
20241152,1
20243161,1
20242042,1
20243210,1
20244025,1
20243088,1
20241211,6
20241211,6
20242007,1
20241204,1
20244062,1
20241137,1
20243117,1
20242081,1
20243206,1
20248003,1
20244032,1
20241153,1
20242138,1
20243198,1
20242107,1
20243080,1
20242204,1
20242139,1
20241103,1
20242129,1
20244027,1
20243006,1
20243108,1
20243212,1
20241237,1
20241052,1
20241308,1
20246027,1
20244072,1
20241195,1
20244043,1
20241102,1
20243194,1
20243070,4
20243165,1
20241063,1
20241132,6
20241292,1
20241189,1
20241233,1
20241233,1
20241233,1
20241233,1
20242115,1
20242167,1
20241016,1
20243234,1
20246025,1
20241220,1
20241034,1
20242012,1
20243009,1
20243009,1
20241269,1
20242093,1
20242176,1
20242255,1
20241066,1
20242175,1
20243207,1
20242029,1
20241246,1
20241078,1
20243064,1
20241013,1
20241013,1
20246019,1
20242257,1
20241138,1
20244014,1
20244069,1
20242053,1
20243111,1
20243067,1
20242186,4
20242250,1
20243167,1
20243106,1
20242098,1
20241179,1
20242070,1
20243261,2
20243227,1
20242243,1
20242102,1
20241109,1
20243187,1
20241301,1
20243135,4
20241248,1
20243268,1
20242071,1
20241020,1
20241294,1
20241304,1
20242123,1
20242144,1
20241199,1
20241199,1
20243066,1
20243233,2
20243203,1
20242209,1
20242056,1
20242130,1
20243109,1
20243109,1
20243010,1
20243181,1
20246018,5
20241071,1
20241186,1
20243078,1
20241223,1
20241221,1
20241143,1
20243242,1
20242189,1
20242170,4
20243043,4
20241140,1
20244063,1
20241131,1
20242172,1
20241111,1
20242055,1
20241017,1
20244067,1
20246024,1
20241254,1
20241254,1
20243011,1
20246011,1
20242177,1
20241127,1
20241210,1
20242132,1
20242132,1
20242184,1
20241253,1
20243024,1
20242224,1
20243031,1
20242069,1
20243156,1
20242251,1
20244034,1
20242090,1
20243231,1
20243231,1
20243231,1
20242194,1
20243142,1
20242043,4
20243124,4
20244007,1
20242060,1
20243104,1
20244041,1
20246026,1
20243021,2
20242155,1
20242032,4
20241285,1
20244066,1
20242064,1
20242164,1
20244035,1
20243018,1
20242086,1
20243217,4
20243251,2
20243058,1
20244046,1
20243085,1
20244039,1
20243240,1
20246002,1
20246002,1
20242099,1
20242099,1
20243063,1
20241176,1
20247022,4
20241086,1
20241224,1
20241265,1
20241202,1
20246023,5
20241293,2
20241299,1
20244078,1
20243164,4
20242201,1
20241307,1
20242074,1
20242074,1
20241243,2
20241243,2
20247034,1
20241260,1
20243004,1
20246014,1
20246014,1
20242024,2
20243169,1
20243081,1
20243081,1
20242169,1
20241110,1
20241082,1
20241159,1
20246022,1
20241229,1
20242026,1
20242268,4
20242238,1
20242122,1
20241046,1
20241046,1
20241046,1
20243192,1
20241032,1
20241032,1
20241031,1
20243254,1
20243133,1
20241203,1
20243118,1
20243173,1
20243199,1
20244003,1
20241298,2
20242112,1
20242112,1
20243092,4
20243042,1
20244005,1
20243178,1
20244050,1
20241208,2
20242259,2
20242212,1
20243019,1
20241036,1
20242226,1
20247007,1
20243074,6
20241003,1
20241277,1
20241249,1
20242020,1
20242108,1
20243120,2
20242187,1
20243116,2
20243116,2
20242133,1
20241092,1
20242121,1
20243214,2
20241118,1
20243157,1
20241190,2
20241097,1
20242265,1
20242265,1
20241250,1
20242200,4
20242234,1
20242048,1
20242003,1
20243252,1
20243252,1
20243061,1
20242162,1
20244071,1
20241047,1
20241205,1
20241024,1
20242096,1
20242240,1
20243139,6
20243075,1
20244051,1
20241070,1
20244079,1
20243051,1
20243051,1
20243051,1
20242237,1
20243148,1
20242157,1
20244022,1
20241142,1
20241124,1
20241010,5
20241252,1
20243155,1
20243163,1
20243269,1
20243056,1
20243049,1
20243103,1
20242233,1
20243014,1
20241198,1
20242249,1
20243154,6
20243154,6
20243154,6
20241100,1
20241074,1
20243263,2
20242016,1
